          Альфа,          Время
          4.628,              0
          4.628,         4.9967
         4.4642,         4.9967
         4.4642,         10.132
         4.3051,         10.132
         4.3051,         15.423
         4.1513,         15.423
         4.1513,         20.889
         4.0037,         20.889
         4.0037,         26.552
         3.8625,         26.552
         3.8625,         32.439
         3.7279,         32.439
         3.7279,         38.582
         3.6002,         38.582
         3.6002,         45.017
         3.5124,         45.017
         3.5124,         69.984
         3.5157,         69.984
         3.5157,         88.634
         3.5768,         88.634
         3.5768,         107.62
         3.6369,         107.62
         3.6369,         126.91
         3.6971,         126.91
         3.6971,         146.49
         3.7584,         146.49
         3.7584,         166.33
         3.8211,         166.33
         3.8211,         186.42
         3.8836,         186.42
         3.8836,         206.76
         3.9466,         206.76
         3.9466,         227.35
         4.0115,         227.35
         4.0115,         248.17
         4.0783,         248.17
         4.0783,         269.21
         4.1453,         269.21
         4.1453,         290.49
          4.213,         290.49
          4.213,         312.01
          4.283,         312.01
          4.283,         333.75
         4.3552,         333.75
         4.3552,         355.72
          4.351,         355.72
          4.351,          386.6
         4.3468,          386.6
         4.3468,         409.13
         4.4202,         409.13
         4.4202,         431.87
         4.4192,         431.87
         4.4192,         464.27
