         Высоты,       Скорости
            300,            300
            300,         323.68
            300,         347.37
            300,         371.05
            300,         394.74
            300,         418.42
            300,         442.11
            300,         465.79
            300,         489.47
            300,         513.16
            300,         536.84
         547.37,         536.84
         794.74,         536.84
         1042.1,         536.84
         1289.5,         536.84
         1536.8,         536.84
         1784.2,         536.84
         2031.6,         536.84
         2278.9,         536.84
         2526.3,         536.84
         2773.7,         536.84
         3021.1,         536.84
         3268.4,         536.84
         3515.8,         536.84
         3763.2,         536.84
         4010.5,         536.84
         4257.9,         536.84
         4505.3,         536.84
         4752.6,         560.53
           5000,         584.21
           5000,         607.89
           5000,         631.58
           5000,         655.26
           5000,         678.95
           5000,         702.63
           5000,         726.32
