          Альфа,          Время
          4.628,              0
          4.628,         5.3134
         4.4642,         5.3134
         4.4642,         10.784
         4.3051,         10.784
         4.3051,         16.431
         4.1513,         16.431
         4.1513,         22.279
         4.0037,         22.279
         4.0037,         28.353
         3.8625,         28.353
         3.8625,         34.685
         3.7279,         34.685
         3.7279,         41.314
         3.6002,         41.314
         3.6002,         48.285
         3.4791,         48.285
         3.4791,         55.654
         3.3647,         55.654
         3.3647,         63.493
         3.3407,         63.493
         3.3407,         83.807
         3.3999,         83.807
         3.3999,         104.55
         3.4582,         104.55
         3.4582,         125.65
         3.5156,         125.65
         3.5156,         147.08
         3.5732,         147.08
         3.5732,         168.81
         3.6319,         168.81
         3.6319,         190.81
          3.692,         190.81
          3.692,         213.07
          3.752,         213.07
          3.752,         235.57
         3.8125,         235.57
         3.8125,         258.32
         3.8748,         258.32
         3.8748,          281.3
          3.939,          281.3
          3.939,          304.5
         4.0035,          304.5
         4.0035,         327.93
         4.0687,         327.93
         4.0687,          351.6
          4.136,          351.6
          4.136,         375.49
         4.2057,         375.49
         4.2057,         399.59
         4.2758,         399.59
         4.2758,         423.93
         4.3468,         423.93
         4.3468,          448.5
         4.3444,          448.5
         4.3444,          483.6
         4.2707,          483.6
         4.2707,         520.05
         4.1657,         520.05
         4.1657,         531.88
          4.031,         531.88
          4.031,         544.58
         3.9035,         544.58
         3.9035,         558.35
         3.7827,         558.35
         3.7827,         573.42
         3.6685,         573.42
         3.6685,         590.13
         3.5604,         590.13
         3.5604,         606.27
         3.4583,         606.27
         3.4583,         624.45
